              LEXEME	             LINE_NO	      VALUE (if num)	            TOKENAME	              PARENT	            IS LEAF?	         NODE SYMBOL         RULE_NUMBER
               index	             18	                ----	                  ID	            index_nt	                 YES	                  ID                   0
                ----	              0	                ----	                ----	             whichId	                NOPE	            index_nt                  50
                   ]	             18	                ----	                SQBC	             whichId	                 YES	                SQBC                   0
                ----	              0	                ----	                ----	                term	                NOPE	              factor                  79
                ----	              0	                ----	                ----	   arithmeticExpr_lr	                NOPE	                term                  77
                 EPS	              0	                ----	                 EPS	             term_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	                term	                NOPE	             term_lr                  76
                 EPS	              0	                ----	                 EPS	   arithmeticExpr_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	   arithmeticExpr_lr	                NOPE	   arithmeticExpr_lr                  73
                ----	              0	                ----	                ----	arithmeticOrBooleanExpression	                NOPE	            opt_expr                  66
                 EPS	              0	                ----	                 EPS	        one_more_opt	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	            opt_expr	                NOPE	        one_more_opt                  69
                ----	              0	                ----	                ----	          expression	                NOPE	arithmeticOrBooleanExpression                  63
                 EPS	              0	                ----	                 EPS	         opt_expr_lr	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	arithmeticOrBooleanExpression	                NOPE	         opt_expr_lr                  65
                ----	              0	                ----	                ----	        lvalueIDStmt	                NOPE	          expression                  58
                   ;	             18	                ----	             SEMICOL	        lvalueIDStmt	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	      assignmentStmt	                NOPE	           whichStmt                  45
                ----	              0	                ----	                ----	           statement	                NOPE	          simpleStmt                  42
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  29
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  26
                 EPS	              0	                ----	                 EPS	          statements	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  27
               break	             19	                ----	               BREAK	           caseStmts	                 YES	               BREAK                   0
                   ;	             19	                ----	             SEMICOL	           caseStmts	                 YES	             SEMICOL                   0
                case	             20	                ----	                CASE	            caseStmt	                 YES	                CASE                   0
                ----	              0	                ----	                ----	           caseStmts	                NOPE	            caseStmt                  97
               false	             20	                ----	               FALSE	               value	                 YES	               FALSE                   0
                ----	              0	                ----	                ----	            caseStmt	                NOPE	               value                  95
                   :	             20	                ----	               COLON	            caseStmt	                 YES	               COLON                   0
               print	             20	                ----	               PRINT	              ioStmt	                 YES	               PRINT                   0
                ----	              0	                ----	                ----	           statement	                NOPE	              ioStmt                  34
                   (	             20	                ----	                  BO	              ioStmt	                 YES	                  BO                   0
                 sum	             20	                ----	                  ID	                 var	                 YES	                  ID                   0
                ----	              0	                ----	                ----	            printOpt	                NOPE	                 var                  35
                 EPS	              0	                ----	                 EPS	             whichId	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	                 var	                NOPE	             whichId                  39
                ----	              0	                ----	                ----	              ioStmt	                NOPE	            printOpt                  41
                   )	             20	                ----	                  BC	              ioStmt	                 YES	                  BC                   0
                   ;	             20	                ----	             SEMICOL	              ioStmt	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  28
                ----	              0	                ----	                ----	            caseStmt	                NOPE	          statements                  26
               print	             21	                ----	               PRINT	              ioStmt	                 YES	               PRINT                   0
                ----	              0	                ----	                ----	           statement	                NOPE	              ioStmt                  34
                   (	             21	                ----	                  BO	              ioStmt	                 YES	                  BO                   0
               index	             21	                ----	                  ID	                 var	                 YES	                  ID                   0
                ----	              0	                ----	                ----	            printOpt	                NOPE	                 var                  35
                 EPS	              0	                ----	                 EPS	             whichId	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	                 var	                NOPE	             whichId                  39
                ----	              0	                ----	                ----	              ioStmt	                NOPE	            printOpt                  41
                   )	             21	                ----	                  BC	              ioStmt	                 YES	                  BC                   0
                   ;	             21	                ----	             SEMICOL	              ioStmt	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  28
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  26
                 EPS	              0	                ----	                 EPS	          statements	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  27
               break	             23	                ----	               BREAK	            caseStmt	                 YES	               BREAK                   0
                   ;	             23	                ----	             SEMICOL	            caseStmt	                 YES	             SEMICOL                   0
                 EPS	              0	                ----	                 EPS	            caseStmt	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	            caseStmt	                NOPE	            caseStmt                  98
                 EPS	              0	                ----	                 EPS	          default_nt	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	     conditionalStmt	                NOPE	          default_nt                 100
                 end	             24	                ----	                 END	     conditionalStmt	                 YES	                 END                   0
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  31
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  26
                 EPS	              0	                ----	                 EPS	          statements	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	          statements	                NOPE	          statements                  27
                 end	             26	                ----	                 END	       iterativeStmt	                 YES	                 END                   0
                ----	              0	                ----	                ----	          statements	                NOPE	           statement                  32
